Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,
Colombia,Latin America and Caribbean,44,6.1634,0.932204,1.334451,0.81002,0.52689,0.092374,0.045848,2.421657,,,,,
Congo,Sub-Saharan Africa,85,5.1944,0.633617,0.757636,0.458101,0.386514,0.117216,0.118671,2.72262,,,,,
Costa Rica,Latin America and Caribbean,15,7.1214,0.981108,1.374854,0.939635,0.645018,0.131266,0.096362,2.953135,,,,,
Croatia,Central and Eastern Europe,78,5.5047,1.109024,1.311265,0.900576,0.381457,0.113999,0.012325,1.676029,,,,,
Cyprus,Western Europe,45,6.159,1.212799,1.149171,1.026125,0.459386,0.227932,0.051207,2.032335,,,,,
Denmark,Western Europe,2,7.6456,1.326949,1.503449,0.979333,0.66504,0.242793,0.49526,2.432741,,,,,
Dominican Republic,Latin America and Caribbean,68,5.6892,0.983192,1.328889,0.741902,0.562874,0.112197,0.115946,1.844247,,,,,
Ecuador,Latin America and Caribbean,58,5.9252,0.853384,1.221028,0.838838,0.555235,0.115006,0.086753,2.254934,,,,,
Egypt,MENA,129,4.1514,0.875229,0.98254,0.596911,0.373685,0.068801,0.095462,1.158818,,,,,
El Salvador,Latin America and Caribbean,34,6.3483,0.74894,1.149398,0.75273,0.524044,0.118936,0.11703,2.937192,,,,,
Estonia,Central and Eastern Europe,51,6.0218,1.192441,1.453233,0.842615,0.576665,0.125137,0.201767,1.629928,,,,,
Ethiopia,Sub-Saharan Africa,127,4.1862,0.315126,1.001103,0.483846,0.412567,0.227698,0.117437,1.628459,,,,,
Finland,Western Europe,1,7.8087,1.28519,1.499526,0.961271,0.662317,0.15967,0.477857,2.762835,,,,,
France,Western Europe,23,6.6638,1.268129,1.458839,1.029714,0.514051,0.112608,0.227303,2.053198,,,,,
Gabon,Sub-Saharan Africa,104,4.8293,0.988044,1.106398,0.522575,0.36946,0.052014,0.055805,1.735028,,,,,
Georgia,Central and Eastern Europe,112,4.6726,0.847198,0.731194,0.694658,0.485494,0.04761,0.174088,1.692398,,,,,
Germany,Western Europe,17,7.0758,1.314185,1.368544,0.972115,0.564274,0.252038,0.309362,2.295249,,,,,
Ghana,Sub-Saharan Africa,87,5.148,0.575862,0.966368,0.432162,0.47729,0.261291,0.05657,2.378437,,,,,
Greece,Western Europe,76,5.515,1.12807,1.168974,0.979432,0.173516,0,0.048844,2.016179,,,,,
Guatemala,Latin America and Caribbean,29,6.3989,0.753816,1.174267,0.705953,0.613147,0.170612,0.09836,2.882723,,,,,
Guinea,Sub-Saharan Africa,98,4.9493,0.390008,0.751366,0.333655,0.371878,0.249491,0.112205,2.74073,,,,,
Honduras,Latin America and Caribbean,56,5.9532,0.598764,1.186664,0.79199,0.568148,0.256528,0.086807,2.464295,,,,,
Hong Kong,Eastern Asia,77,5.5104,1.376746,1.243584,1.136631,0.459357,0.288281,0.332485,0.673293,,,,,
Hungary,Central and Eastern Europe,53,6.0004,1.164307,1.423009,0.806794,0.386402,0.070491,0.027548,2.121846,,,,,
Iceland,Western Europe,4,7.5045,1.326502,1.547567,1.000843,0.661981,0.36233,0.144541,2.460688,,,,,
India,Southern Asia,134,3.5733,0.730576,0.644199,0.54057,0.581142,0.237072,0.105588,0.734131,,,,,
Indonesia,Southeastern Asia,83,5.2856,0.891721,1.154801,0.610437,0.568161,0.542647,0.038279,1.479573,,,,,
Iran,MENA,113,4.6724,1.029323,0.886271,0.749054,0.301195,0.276979,0.142652,1.286969,,,,,
Iraq,MENA,106,4.7848,0.982019,1.011467,0.529351,0.283588,0.153002,0.073165,1.752174,,,,,
Ireland,Western Europe,16,7.0937,1.446887,1.470596,0.975671,0.58778,0.295427,0.373433,1.943878,,,,,
Israel,MENA,14,7.1286,1.216464,1.403257,1.008053,0.420699,0.266862,0.099898,2.713358,,,,,
Italy,Western Europe,30,6.3874,1.236396,1.347296,1.022505,0.321306,0.170266,0.040146,2.249506,,,,,
Jamaica,Latin America and Caribbean,60,5.8898,0.779058,1.408289,0.788434,0.553125,0.116268,0.030148,2.214437,,,,,
Japan,Eastern Asia,62,5.8708,1.266724,1.332339,1.072881,0.495466,0.035712,0.18144,1.4862,,,,,
Jordan,MENA,114,4.6334,0.785179,1.140119,0.777625,0.424855,0.091495,0.151879,1.262258,,,,,
Kazakhstan,Central and Eastern Europe,50,6.0579,1.122594,1.453268,0.698789,0.497432,0.153714,0.110464,2.021603,,,,,
Kenya,Sub-Saharan Africa,115,4.583,0.476413,0.905078,0.536313,0.519181,0.393902,0.067201,1.684905,,,,,
Kosovo,Central and Eastern Europe,35,6.3252,0.840481,1.183963,0.672709,0.55728,0.325287,0.008559,2.736903,,,,,
Kuwait,MENA,48,6.1021,1.424834,1.24478,0.776469,0.570261,0.132751,0.112815,1.840168,,,,,
Kyrgyzstan,Central and Eastern Europe,74,5.5415,0.513181,1.341037,0.680646,0.614618,0.301371,0.030467,2.060207,,,,,
Latvia,Central and Eastern Europe,57,5.95,1.141395,1.414399,0.777902,0.329199,0.075408,0.090392,2.121283,,,,,
Lebanon,MENA,107,4.7715,0.889233,1.192493,0.788671,0.185517,0.158524,0.021518,1.535542,,,,,
Liberia,Sub-Saharan Africa,117,4.5579,0.174103,0.920734,0.392284,0.405943,0.226968,0.05114,2.386758,,,,,
Libya,MENA,79,5.4888,1.021914,1.196284,0.615627,0.451354,0.142758,0.172258,1.888563,,,,,
Lithuania,Central and Eastern Europe,41,6.2155,1.19356,1.432866,0.795421,0.420461,0.053691,0.08135,2.238146,,,,,
Luxembourg,Western Europe,10,7.2375,1.536676,1.387528,0.986443,0.610137,0.195954,0.367041,2.1537,,,,,
Madagascar,Sub-Saharan Africa,128,4.1656,0.244553,0.823694,0.500617,0.192968,0.19119,0.076249,2.136298,,,,,
Malawi,Sub-Saharan Africa,135,3.538,0.176535,0.530368,0.446163,0.48739,0.213185,0.131634,1.552718,,,,,
Malaysia,Southeastern Asia,81,5.3843,1.168422,1.174002,0.788512,0.596942,0.274886,0.062163,1.319421,,,,,
Mali,Sub-Saharan Africa,109,4.7293,0.352463,0.973142,0.234982,0.377534,0.169667,0.062146,2.559335,,,,,
Malta,Western Europe,22,6.7728,1.252513,1.442957,0.972042,0.633239,0.341181,0.178864,1.952012,,,,,
Mauritania,Sub-Saharan Africa,122,4.3746,0.539685,1.113324,0.425185,0.185714,0.1289,0.122258,1.859557,,,,,
Mauritius,Sub-Saharan Africa,49,6.1013,1.073664,1.395667,0.763389,0.590838,0.186895,0.084088,2.006721,,,,,
Mexico,Latin America and Caribbean,24,6.465,1.024387,1.226333,0.831601,0.553893,0.083094,0.083134,2.66254,,,,,
Moldova,Central and Eastern Europe,70,5.6075,0.707917,1.237312,0.713299,0.389571,0.174049,0.014379,2.370968,,,,,
Mongolia,Eastern Asia,80,5.4562,0.904873,1.458931,0.615788,0.355703,0.263886,0.046533,1.810528,,,,,
Montenegro,Central and Eastern Europe,72,5.5461,1.01015,1.265658,0.839029,0.303224,0.14901,0.098435,1.880566,,,,,
Morocco,MENA,93,5.0948,0.758622,0.645208,0.745097,0.450054,0.040033,0.077386,2.378402,,,,,
Myanmar,Southeastern Asia,125,4.308,0.678091,1.098178,0.495443,0.597479,0.569814,0.18753,0.681463,,,,,
Nepal,Southern Asia,88,5.1372,0.44405,1.100789,0.668879,0.480608,0.300972,0.127503,2.014387,,,,,
Netherlands,Western Europe,6,7.4489,1.338946,1.463646,0.975675,0.613626,0.336318,0.36857,2.352117,,,,,
New Zealand,Australia and New Zealand,8,7.2996,1.242318,1.487218,1.008138,0.64679,0.325726,0.461268,2.128108,,,,,
Nicaragua,Latin America and Caribbean,46,6.1371,0.620033,1.270813,0.803093,0.560117,0.212871,0.174085,2.496081,,,,,
Niger,Sub-Saharan Africa,99,4.9096,0.10833,0.7038,0.298816,0.435312,0.208177,0.137555,3.017631,,,,,
Nigeria,Sub-Saharan Africa,110,4.7241,0.645902,0.986718,0.167836,0.435079,0.221328,0.04759,2.219635,,,,,
Norway,Western Europe,5,7.488,1.424207,1.495173,1.008072,0.670201,0.287985,0.434101,2.168266,,,,,
Pakistan,Southern Asia,66,5.6933,0.616799,0.87298,0.469933,0.405422,0.228705,0.122592,2.976877,,,,,
Palestine,MENA,118,4.5528,0.587819,1.194756,0.613827,0.298701,0.091816,0.071914,1.693986,,,,,
Panama,Latin America and Caribbean,36,6.3048,1.097668,1.376149,0.878547,0.57985,0.097207,0.054231,2.221176,,,,,
Paraguay,Latin America and Caribbean,67,5.6921,0.897991,1.368198,0.73587,0.58651,0.204299,0.065077,1.834125,,,,,
Peru,Latin America and Caribbean,63,5.7968,0.918549,1.208406,0.824444,0.51321,0.091612,0.027033,2.2135,,,,,
Philippines,Southeastern Asia,52,6.006,0.775121,1.245382,0.602189,0.621915,0.12926,0.130386,2.501742,,,,,
Poland,Central and Eastern Europe,43,6.1863,1.169229,1.3104,0.868038,0.557904,0.063374,0.160541,2.056798,,,,,
Portugal,Western Europe,59,5.9109,1.168801,1.33953,0.979315,0.589895,0.053037,0.027733,1.752559,,,,,
Romania,Central and Eastern Europe,47,6.1237,1.120402,1.194438,0.792295,0.534852,0.068182,0.00083,2.41275,,,,,
Russia,Central and Eastern Europe,73,5.546,1.127,1.378644,0.680446,0.3995,0.099042,0.045699,1.815717,,,,,
Saudi Arabia,MENA,27,6.4065,1.334329,1.30995,0.759818,0.548477,0.087441,0.163322,2.203119,,,,,
Senegal,Sub-Saharan Africa,97,4.9808,0.504062,0.954593,0.518392,0.352401,0.164397,0.081866,2.405124,,,,,
Serbia,Central and Eastern Europe,64,5.7782,0.988182,1.327449,0.828403,0.395428,0.150283,0.059447,2.02904,,,,,
Sierra Leone,Sub-Saharan Africa,130,3.9264,0.24056,0.747985,0.203954,0.382028,0.257647,0.047941,2.046272,,,,,
Singapore,Southeastern Asia,31,6.3771,1.51958,1.395457,1.137814,0.635317,0.218771,0.533162,0.937032,,,,,
Slovakia,Central and Eastern Europe,37,6.2806,1.194838,1.424331,0.853465,0.423543,0.11673,0.011291,2.256422,,,,,
Slovenia,Central and Eastern Europe,33,6.3634,1.208652,1.464678,0.932548,0.6467,0.145701,0.076516,1.888587,,,,,
South Africa,Sub-Saharan Africa,105,4.8141,0.90214,1.259086,0.407034,0.434782,0.126407,0.059502,1.625117,,,,,
South Korea,Eastern Asia,61,5.8724,1.245301,1.133561,1.022543,0.259356,0.170304,0.094596,1.946757,,,,,
Spain,Western Europe,28,6.4009,1.230535,1.421099,1.051343,0.425984,0.165305,0.10958,1.997088,,,,,
Sri Lanka,Southern Asia,123,4.327,0.897987,1.19494,0.792037,0.528632,0.252666,0.049445,0.611289,,,,,
Sweden,Western Europe,7,7.3535,1.322235,1.433348,0.98647,0.650298,0.272828,0.442066,2.246299,,,,,
Switzerland,Western Europe,3,7.5599,1.390774,1.472403,1.040533,0.628954,0.269056,0.407946,2.350267,,,,,
Taiwan,Eastern Asia,25,6.4554,1.327471,1.357761,0.878438,0.449404,0.150599,0.131516,2.160239,,,,,
Tajikistan,Central and Eastern Europe,71,5.5557,0.474875,1.218378,0.680595,0.521141,0.182417,0.22178,2.256508,,,,,
Tanzania,Sub-Saharan Africa,138,3.4762,0.457163,0.872675,0.442678,0.509343,0.271541,0.203881,0.718963,,,,,
Thailand,Southeastern Asia,54,5.9988,1.007029,1.34752,0.793856,0.60945,0.376709,0.031838,1.832384,,,,,
Togo,Sub-Saharan Africa,126,4.1872,0.268116,0.547623,0.342731,0.303539,0.200774,0.114826,2.409595,,,,,
Tunisia,MENA,121,4.3922,0.874743,0.872168,0.781157,0.235861,0.055881,0.0439,1.528497,,,,,
Turkiye,MENA,89,5.1318,1.127169,1.197159,0.781335,0.254401,0.085886,0.120983,1.564817,,,,,
Uganda,Sub-Saharan Africa,119,4.432,0.312337,1.052327,0.378312,0.401683,0.264807,0.063819,1.958671,,,,,
Ukraine,Central and Eastern Europe,116,4.5607,0.780435,1.321316,0.698674,0.319424,0.178551,0.009651,1.252669,,,,,
United Arab Emirates,MENA,21,6.7908,1.431086,1.251171,0.787814,0.652936,0.280656,0.220214,2.166966,,,,,
United Kingdom,Western Europe,13,7.1645,1.273061,1.457845,0.9757,0.525169,0.373433,0.322602,2.236722,,,,,
United States,North America,18,6.9396,1.373987,1.404787,0.831618,0.534608,0.298143,0.152285,2.344125,,,,,
Uruguay,Latin America and Caribbean,26,6.4401,1.071,1.425081,0.856929,0.594267,0.132144,0.193425,2.167276,,,,,
Uzbekistan,Central and Eastern Europe,38,6.2576,0.696653,1.43402,0.716704,0.69327,0.363311,0.28026,2.073347,,,,,
Venezuela,Latin America and Caribbean,95,5.0532,0.770239,1.348547,0.767026,0.271717,0.087179,0.063625,1.744841,,,,,
Vietnam,Southeastern Asia,82,5.3535,0.718092,1.253075,0.819134,0.650836,0.136489,0.089848,1.685978,,,,,
Yemen,MENA,136,3.5274,0.392702,1.177477,0.415,0.243721,0.094689,0.087352,1.116473,,,,,
Zambia,Sub-Saharan Africa,132,3.7594,0.536834,0.896037,0.363593,0.491318,0.250621,0.086705,1.134339,,,,,
Zimbabwe,Sub-Saharan Africa,140,3.2992,0.425564,1.047835,0.375038,0.377405,0.151349,0.080929,0.841031,,,,,
